fact_id,date_id,state_id,disease_id,source_id,population_under_surveillance,total_reported_cases,active_cases,recovered_cases,deaths,urban_cases,rural_cases,hospitalized_cases,icu_admissions,case_fatality_rate,recovery_rate,public_health_risk_score,report_date_raw
1645,5,10,1,2,34156716,1491,222,1262.0,7.0,858,633,341.0,53.0,0.47,84.64,24.5,2022-05-01
1646,5,10,2,5,34749371,1086,171,892.0,23.0,408,678,168.0,10.0,2.12,82.14,19.6,2022-05-01
1647,5,10,3,2,37117018,972,192,773.0,7.0,393,579,134.0,,0.72,79.53,15.7,2022-05-01
1648,5,10,4,4,34186983,618,54,546.0,18.0,276,342,106.0,10.0,2.91,88.35,16.5,01/05/2022
1649,5,10,5,5,34537173,868,183,679.0,6.0,304,564,65.0,10.0,0.69,78.23,13.7,2022-05-01
1650,5,10,6,6,33384991,486,46,426.0,14.0,349,137,unknown,14.0,2.88,87.65,14.8,2022-05-01
1651,5,10,7,3,37561188,898,184,690.0,24.0,561,337,64.0,15.0,2.67,76.84,20.3,01/05/2022
1652,5,10,8,6,33164153,1269,174,1051.0,44.0,655,614,106.0,27.0,3.47,82.82,30.6,2022-05-01
1653,5,10,9,6,36535702,660,31,615.0,14.0,329,331,86.0,6.0,2.12,93.18,13.4,2022-05-01
1654,5,10,10,1,32988685,2154,201,1919.0,34.0,1282,872,not reported,33.0,1.58,89.09,31.7,2022-05-01
1655,5,10,11,2,34190802,538,33,500.0,5.0,354,184,77.0,12.0,0.93,92.94,8.6,2022-05-01
1656,5,10,12,1,37618229,502,29,465.0,8.0,235,267,,10.0,1.59,92.63,8.3,2022-05-01
1657,5,11,1,2,66752763,645,87,557.0,1.0,280,365,39.0,9.0,,86.36,5.9,2022-05-01
1658,5,11,2,1,65150460,1220,153,1033.0,34.0,823,397,64.0,10.0,2.79,84.67,16.7,01/05/2022
1659,5,11,3,2,60333565,1744,136,1586.0,22.0,834,910,215.0,19.0,1.26,90.94,20.4,2022-05-01
1660,5,11,4,5,65560905,619,20,597.0,2.0,408,211,,22.0,0.32,96.45,4.1,2022-05-01
1661,5,11,5,3,63198975,1143,149,965.0,29.0,742,401,249.0,17.0,2.54,84.43,14.7,2022-05-01
1662,5,11,6,6,66193503,1253,112,1138.0,3.0,870,383,295.0,62.0,,90.82,13.2,01-05-2022
1663,5,11,7,1,66332308,543,11,516.0,16.0,265,278,43.0,4.0,2.95,95.03,15.6,2022-05-01
1664,5,11,8,6,62463882,953,48,894.0,11.0,448,505,113.0,8.0,1.15,93.81,13.6,2022-05-01
1665,5,11,9,1,65432057,1285,157,1085.0,43.0,606,679,177.0,15.0,3.35,84.44,22.7,2022-05-01
1666,5,11,10,1,65130139,1831,84,1721.0,26.0,1267,564,103.0,14.0,1.42,93.99,21.8,2022-05-01
1667,5,11,11,2,62264784,1518,257,1223.0,38.0,888,630,217.0,46.0,2.5,80.57,22.6,2022-05-01
1668,5,11,12,3,61593219,713,156,536.0,21.0,361,352,159.0,10.0,2.95,75.18,17.1,2022-05-01
1669,5,12,1,4,35592525,1246,129,1094.0,23.0,604,642,284.0,20.0,1.85,87.8,24.6,2022-05-01
1670,5,12,2,6,35055417,697,75,609.0,13.0,467,230,154.0,41.0,1.87,87.37,18.6,2022-05-01
1671,5,12,3,4,34694206,397,39,,13.0,241,156,33.0,5.0,3.27,86.9,18.7,2022-05-01
1672,5,12,4,1,33362096,157,9,148.0,0.0,90,67,13.0,2.0,0.0,94.27,3.5,2022-05-01
1673,5,12,5,2,34782603,664,110,551.0,3.0,434,230,105.0,13.0,0.45,82.98,8.8,2022-05-01
1674,5,12,6,5,33416541,254,32,220.0,2.0,110,144,28.0,5.0,0.79,86.61,8.9,2022-05-01
1675,5,12,7,1,30476033,1364,63,1271.0,30.0,690,674,128.0,26.0,2.2,93.18,28.1,2022-05-01
1676,5,12,8,4,35648246,597,108,479.0,10.0,258,339,85.0,,1.68,80.23,12.1,2022-05-01
1677,5,12,9,1,33391025,1454,315,1111.0,28.0,752,702,341.0,54.0,1.93,76.41,23.9,2022-05-01
1678,5,12,10,2,34554716,757,82,662.0,13.0,317,440,165.0,15.0,1.72,87.45,15.0,2022-05-01
1679,5,12,11,4,32552695,395,43,345.0,7.0,177,218,64.0,4.0,1.77,87.34,13.4,2022-05-01
1680,5,12,12,1,32013019,982,146,833.0,3.0,717,265,120.0,9.0,0.31,84.83,19.3,01-05-2022
1681,5,13,1,6,77121560,3251,104,3036.0,111.0,2175,1076,301.0,60.0,3.41,93.39,27.5,2022-05-01
1682,5,13,2,6,75076493,1856,352,1494.0,10.0,1026,830,367.0,51.0,0.54,80.5,9.4,2022-05-01
1683,5,13,3,1,84033138,1254,173,1051.0,30.0,863,391,231.0,33.0,2.39,83.81,10.1,2022-05-01
1684,5,13,4,3,85116539,957,174,764.0,19.0,637,320,135.0,33.0,1.99,79.83,12.6,2022-05-01
1685,5,13,5,6,76468503,1005,174,802.0,29.0,483,522,85.0,5.0,2.89,79.8,12.8,2022-05-01
1686,5,13,6,3,80590514,1378,271,1062.0,45.0,536,842,,21.0,3.27,77.07,16.6,2022-05-01
1687,5,13,7,1,75654082,2657,224,2370.0,63.0,1727,930,589.0,75.0,2.37,89.2,25.2,2022-05-01
1688,5,13,8,3,74951405,1558,218,1323.0,17.0,545,1013,213.0,51.0,1.09,84.92,12.4,2022-05-01
1689,5,13,9,2,82472957,3747,421,3257.0,69.0,2428,1319,423.0,54.0,1.84,86.92,23.8,01/05/2022
1690,5,13,10,4,81975748,3127,401,2693.0,33.0,1939,1188,180.0,50.0,1.06,86.12,22.7,2022-05-01
1691,5,13,11,5,76360125,763,155,587.0,21.0,560,203,184.0,50.0,2.75,76.93,15.8,2022-05-01
1692,5,13,12,2,81702587,1742,331,1365.0,46.0,721,1021,389.0,42.0,2.64,78.36,13.8,01-05-2022
1693,5,14,1,1,104984014,1164,205,,8.0,528,636,277.0,47.0,0.69,81.7,3.5,2022-05-01
1694,5,14,2,2,116093317,2640,594,2039.0,7.0,994,1646,300.0,71.0,0.27,77.23,13.3,2022-05-01
1695,5,14,3,1,119683828,2737,87,2573.0,77.0,1093,1644,671.0,169.0,2.81,94.01,24.0,2022-05-01
1696,5,14,4,2,118023201,1369,251,1073.0,45.0,875,494,281.0,42.0,3.29,78.38,11.3,2022-05-01
1697,5,14,5,4,108343712,1961,428,1517.0,16.0,1455,506,175.0,12.0,0.82,77.36,6.7,2022-05-01
1698,5,14,6,6,115675653,3620,337,3250.0,33.0,2191,1429,469.0,121.0,0.91,89.78,15.3,2022-05-01
1699,5,14,7,1,106393117,1064,142,895.0,27.0,398,666,168.0,39.0,2.54,84.12,11.5,2022-05-01
1700,5,14,8,3,115295827,1938,428,1486.0,24.0,891,1047,455.0,58.0,1.24,76.68,7.6,2022-05-01
1701,5,14,9,1,108418743,3334,750,2503.0,81.0,1187,2147,543.0,58.0,2.43,75.07,22.0,01/05/2022
1702,5,14,10,1,112468041,3955,102,3818.0,35.0,2202,1753,629.0,57.0,0.88,96.54,23.3,2022-05-01
1703,5,14,11,6,112036676,1756,358,1379.0,19.0,1131,625,291.0,79.0,1.08,78.53,6.3,2022-05-01
1704,5,14,12,2,117243092,1288,209,1048.0,31.0,795,493,280.0,47.0,2.41,81.37,16.3,01-05-2022
1705,5,15,1,3,2787082,104,18,84.0,2.0,38,66,11.0,2.0,1.92,80.77,26.9,2022-05-01
1706,5,15,2,4,3052919,97,21,73.0,3.0,44,53,11.0,2.0,3.09,75.26,22.7,05/01/2022
1707,5,15,3,5,2753957,55,11,43.0,1.0,21,34,5.0,1.0,1.82,78.18,14.0,2022-05-01
1708,5,15,4,6,2771079,74,4,70.0,0.0,54,20,15.0,1.0,0.0,94.59,9.6,2022-05-01
1709,5,15,5,1,2702940,32,5,27.0,0.0,13,19,7.0,0.0,0.0,84.38,3.7,2022-05-01
1710,5,15,6,4,2788689,50,4,45.0,1.0,26,24,4.0,0.0,2.0,90.0,17.4,2022-05-01
1711,5,15,7,2,2970643,19,3,16.0,0.0,9,10,1.0,0.0,0.0,84.21,6.9,2022-05-01
1712,5,15,8,3,2797714,20,3,17.0,0.0,8,12,4.0,1.0,0.0,85.0,2.0,2022-05-01
1713,5,15,9,2,2795058,75,13,61.0,1.0,34,41,17.0,3.0,1.33,81.33,20.2,01/05/2022
1714,5,15,10,5,2732595,65,11,52.0,2.0,45,20,7.0,,3.08,80.0,15.9,2022-05-01
1715,5,15,11,6,2660187,101,17,83.0,1.0,58,43,14.0,3.0,0.99,82.18,22.0,2022-05-01
1716,5,15,12,4,2939799,85,19,64.0,2.0,37,48,6.0,0.0,2.35,75.29,19.8,2022-05-01
1717,5,16,1,4,2999232,93,16,76.0,1.0,43,50,19.0,1.0,1.08,81.72,12.9,05/01/2022
1718,5,16,2,3,3250850,72,5,67.0,0.0,35,37,5.0,1.0,0.0,93.06,14.6,2022-05-01
1719,5,16,3,4,2969728,28,6,22.0,0.0,13,15,5.0,,0.0,78.57,2.6,2022-05-01
1720,5,16,4,5,2945756,37,2,35.0,0.0,26,11,3.0,0.0,0.0,94.59,7.3,2022-05-01
1721,5,16,5,5,3180170,27,1,26.0,0.0,12,15,3.0,0.0,0.0,96.3,4.7,2022-05-01
1722,5,16,6,4,3114410,31,4,27.0,0.0,18,13,4.0,0.0,0.0,87.1,6.3,2022-05-01
1723,5,16,7,3,2944388,82,4,78.0,0.0,59,23,19.0,1.0,0.0,95.12,14.8,2022-05-01
1724,5,16,8,4,3299313,63,2,60.0,1.0,27,36,7.0,1.0,1.59,95.24,14.4,2022-05-01
1725,5,16,9,5,3222053,76,6,69.0,1.0,38,38,14.0,3.0,1.32,90.79,16.1,2022-05-01
1726,5,16,10,4,3202265,124,22,99.0,3.0,46,78,7.0,2.0,2.42,79.84,29.5,2022-05-01
1727,5,16,11,1,3375401,169,12,153.0,4.0,59,110,26.0,3.0,2.37,90.53,29.5,2022-05-01
1728,5,16,12,2,2929028,57,10,46.0,1.0,33,24,14.0,0.0,1.75,80.7,13.2,01/05/2022
1729,5,17,1,3,1163568,7,1,6.0,0.0,3,4,1.0,0.0,0.0,85.71,0.0,05/01/2022
1730,5,17,2,4,1143936,23,4,19.0,0.0,8,15,4.0,0.0,0.0,82.61,8.1,2022-05-01
1731,5,17,3,5,1113653,26,3,,0.0,13,13,1.0,0.0,0.0,88.46,8.2,2022-05-01
1732,5,17,4,2,1192093,8,2,6.0,0.0,4,4,1.0,0.0,0.0,75.0,5.8,2022-05-01
1733,5,17,5,6,1118786,13,1,12.0,0.0,8,5,1.0,0.0,0.0,92.31,0.8,2022-05-01
1734,5,17,6,5,1149672,13,2,,0.0,8,5,0.0,0.0,0.0,84.62,9.6,2022-05-01
1735,5,17,7,6,1045897,10,3,7.0,0.0,3,7,1.0,0.0,0.0,70.0,7.6,05/01/2022
1736,5,17,8,2,1026105,22,5,17.0,0.0,15,7,3.0,0.0,0.0,77.27,7.4,2022-05-01
1737,5,17,9,4,1135540,17,2,15.0,0.0,9,8,3.0,0.0,0.0,88.24,11.1,2022-05-01
1738,5,17,10,2,1133975,19,1,18.0,0.0,12,7,1.0,0.0,0.0,94.74,3.5,2022-05-01
1739,5,17,11,5,1093713,26,2,24.0,0.0,16,10,1.0,0.0,0.0,92.31,12.3,2022-05-01
1740,5,17,12,6,1035467,12,3,9.0,0.0,5,7,2.0,0.0,0.0,75.0,9.7,2022-05-01
1741,5,18,1,5,1908394,18,1,17.0,0.0,6,12,3.0,0.0,0.0,94.44,5.3,01/05/2022
1742,5,18,2,6,1971671,74,6,68.0,0.0,43,31,13.0,0.0,0.0,91.89,21.6,2022-05-01
1743,5,18,3,5,2143029,18,3,15.0,0.0,8,10,3.0,0.0,0.0,83.33,0.1,2022-05-01
1744,5,18,4,5,1976399,22,6,16.0,0.0,16,6,4.0,0.0,0.0,72.73,2.3,2022-05-01
1745,5,18,5,4,2133554,27,5,22.0,0.0,16,11,4.0,0.0,0.0,81.48,9.5,2022-05-01
1746,5,18,6,2,1895452,21,3,18.0,0.0,13,8,3.0,0.0,0.0,85.71,5.9,2022-05-01
1747,5,18,7,1,2047800,17,3,14.0,0.0,11,6,2.0,0.0,,82.35,3.8,05/01/2022
1748,5,18,8,5,1997318,33,8,25.0,0.0,15,18,6.0,0.0,0.0,75.76,12.4,2022-05-01
1749,5,18,9,5,1870934,71,18,53.0,0.0,45,26,15.0,2.0,0.0,74.65,20.7,2022-05-01
1750,5,18,10,3,1876438,105,6,98.0,1.0,61,44,6.0,1.0,,93.33,25.7,2022-05-01
1751,5,18,11,2,2128976,29,5,24.0,0.0,14,15,1.0,0.0,0.0,82.76,6.4,2022-05-01
1752,5,18,12,3,1871611,71,13,56.0,2.0,26,45,NA,1.0,2.82,78.87,26.8,2022-05-01
1753,5,19,1,3,39592249,1888,255,1594.0,39.0,1270,618,467.0,109.0,2.07,84.43,29.8,05/01/2022
1754,5,19,2,2,42786904,293,28,259.0,6.0,113,180,33.0,9.0,2.05,88.4,12.1,2022-05-01
1755,5,19,3,2,43724450,735,40,676.0,19.0,435,300,83.0,14.0,2.59,91.97,14.4,2022-05-01
1756,5,19,4,5,39631942,600,121,464.0,15.0,434,166,125.0,16.0,2.5,77.33,15.0,2022-05-01
1757,5,19,5,1,40021736,851,10,815.0,26.0,502,349,160.0,29.0,3.06,95.77,17.6,2022-05-01
1758,5,19,6,6,45045371,1426,280,1129.0,17.0,698,728,354.0,101.0,1.19,79.17,16.5,2022-05-01
1759,5,19,7,1,45575720,1007,53,923.0,31.0,750,257,68.0,15.0,3.08,91.66,18.8,2022-05-01
1760,5,19,8,3,41056127,518,107,399.0,12.0,263,255,75.0,4.0,,77.03,16.7,2022-05-01
1761,5,19,9,2,44884556,3176,44,3056.0,76.0,2370,806,574.0,,2.39,96.22,42.8,2022-05-01
1762,5,19,10,4,46078735,596,35,555.0,6.0,430,166,110.0,22.0,1.01,93.12,5.3,2022-05-01
1763,5,19,11,4,40707253,679,104,560.0,15.0,462,217,126.0,30.0,2.21,82.47,10.7,2022-05-01
1764,5,19,12,2,43393448,265,47,217.0,1.0,179,86,57.0,16.0,0.38,81.89,0.0,2022-05-01
1765,5,20,1,5,25852103,320,9,306.0,5.0,194,126,56.0,6.0,1.56,95.62,14.5,2022-05-01
1766,5,20,2,5,28388349,433,20,410.0,3.0,166,267,21.0,4.0,0.69,94.69,10.4,2022-05-01
1767,5,20,3,2,29899361,1041,149,867.0,25.0,571,470,86.0,17.0,2.4,83.29,20.3,2022-05-01
1768,5,20,4,2,26718105,324,30,284.0,10.0,165,159,63.0,5.0,3.09,87.65,16.1,2022-05-01
1769,5,20,5,6,26387877,408,98,307.0,3.0,267,141,43.0,4.0,0.74,75.25,9.7,2022-05-01
1770,5,20,6,2,28984564,340,14,321.0,5.0,157,183,65.0,13.0,1.47,94.41,6.3,2022-05-01
1771,5,20,7,1,28366289,327,46,270.0,11.0,145,182,68.0,12.0,3.36,82.57,11.0,2022-05-01
1772,5,20,8,5,25927844,316,41,268.0,7.0,169,147,49.0,10.0,2.22,84.81,15.7,2022-05-01
1773,5,20,9,5,28198884,1497,128,1356.0,13.0,616,881,100.0,11.0,0.87,90.58,29.7,01/05/2022
1774,5,20,10,5,29903565,515,16,495.0,4.0,279,236,36.0,7.0,0.78,96.12,11.7,2022-05-01
1775,5,20,11,5,26690991,507,95,405.0,7.0,372,135,33.0,2.0,1.38,79.88,15.4,2022-05-01
1776,5,20,12,5,25598895,943,133,798.0,12.0,528,415,182.0,19.0,1.27,84.62,16.6,2022-05-01
1777,5,21,1,4,80932457,2375,418,1875.0,82.0,1443,932,470.0,134.0,3.45,78.95,29.6,2022-05-01
1778,5,21,2,6,72016838,3278,388,2816.0,74.0,1291,1987,765.0,,2.26,85.91,25.0,05/01/2022
1779,5,21,3,3,72140471,2651,330,2290.0,31.0,1448,1203,172.0,49.0,1.17,86.38,16.8,2022-05-01
1780,5,21,4,2,80771095,1685,270,1386.0,29.0,1073,612,387.0,94.0,1.72,82.26,15.0,2022-05-01
1781,5,21,5,1,71177300,1594,32,1509.0,53.0,828,766,315.0,76.0,3.32,94.67,19.9,2022-05-01
1782,5,21,6,6,69341626,1731,49,1659.0,23.0,800,931,143.0,36.0,1.33,95.84,10.0,2022-05-01
1783,5,21,7,3,69614425,853,78,765.0,10.0,417,436,125.0,8.0,1.17,89.68,4.8,2022-05-01
1784,5,21,8,3,76712720,886,32,832.0,22.0,420,466,178.0,32.0,2.48,93.91,8.0,2022-05-01
1785,5,21,9,6,69833359,1817,323,1432.0,62.0,858,959,102.0,29.0,3.41,78.81,20.4,05/01/2022
1786,5,21,10,3,70696162,2861,347,2443.0,,1700,1161,318.0,45.0,2.48,85.39,22.6,2022-05-01
1787,5,21,11,6,73856993,3234,108,3024.0,102.0,2330,904,504.0,124.0,3.15,93.51,24.6,01/05/2022
1788,5,21,12,4,76345016,691,29,640.0,22.0,249,442,75.0,21.0,3.18,92.62,10.7,2022-05-01
1789,5,22,1,4,615924,18,3,15.0,0.0,12,6,2.0,0.0,0.0,83.33,7.4,2022-05-01
1790,5,22,2,4,615928,16,4,,0.0,9,7,1.0,,0.0,75.0,6.7,2022-05-01
1791,5,22,3,4,607261,30,7,23.0,0.0,11,19,2.0,0.0,0.0,76.67,12.3,2022-05-01
1792,5,22,4,4,614003,13,1,12.0,0.0,9,4,1.0,0.0,,92.31,11.1,2022-05-01
1793,5,22,5,4,693021,2,1,1.0,0.0,1,1,0.0,0.0,0.0,50.0,0.0,2022-05-01
1794,5,22,6,5,624944,18,5,13.0,0.0,11,7,4.0,,0.0,72.22,10.8,2022-05-01
1795,5,22,7,6,678800,21,4,17.0,0.0,8,13,1.0,0.0,0.0,80.95,11.5,2022-05-01
1796,5,22,8,4,654028,21,6,15.0,0.0,11,10,5.0,1.0,0.0,71.43,11.3,05/01/2022
1797,5,22,9,1,650887,8,2,6.0,0.0,5,3,1.0,0.0,0.0,75.0,4.7,2022-05-01
1798,5,22,10,3,669229,23,6,17.0,0.0,9,14,4.0,0.0,0.0,73.91,6.5,2022-05-01
1799,5,22,11,1,681480,21,3,18.0,0.0,11,10,3.0,0.0,0.0,85.71,10.6,05/01/2022
1800,5,22,12,2,614248,18,1,17.0,0.0,7,11,1.0,0.0,0.0,94.44,12.5,2022-05-01
1801,5,23,1,2,76407080,1950,118,1822.0,10.0,1425,525,290.0,22.0,0.51,93.44,14.6,2022-05-01
1802,5,23,2,5,68151140,2179,361,1795.0,23.0,1101,1078,342.0,23.0,1.06,82.38,20.3,2022-05-01
1803,5,23,3,1,75543712,2552,528,2013.0,11.0,982,1570,199.0,40.0,0.43,78.88,20.9,2022-05-01
1804,5,23,4,5,75669709,507,105,385.0,17.0,312,195,121.0,14.0,3.35,75.94,10.1,2022-05-01
1805,5,23,5,6,77058222,758,151,581.0,26.0,303,455,137.0,16.0,3.43,76.65,11.6,01/05/2022
1806,5,23,6,6,71534154,1807,69,1676.0,62.0,1157,650,202.0,33.0,3.43,92.75,23.7,2022-05-01
1807,5,23,7,4,71099114,1073,169,885.0,19.0,654,419,114.0,13.0,1.77,82.48,11.5,2022-05-01
1808,5,23,8,1,76342357,624,96,523.0,5.0,327,297,54.0,12.0,0.8,83.81,5.5,2022-05-01
1809,5,23,9,2,77383483,3067,67,2947.0,53.0,2005,1062,740.0,167.0,1.73,96.09,28.9,2022-05-01
1810,5,23,10,5,68472229,409,39,360.0,10.0,274,135,not reported,7.0,2.44,88.02,11.5,2022-05-01
1811,5,23,11,6,73214038,2121,219,1863.0,39.0,823,1298,375.0,32.0,1.84,87.84,16.7,2022-05-01
1812,5,23,12,6,72373085,3255,492,2677.0,86.0,1791,1464,235.0,64.0,2.64,82.24,24.8,2022-05-01
1813,5,24,1,2,35859599,1148,129,1017.0,2.0,780,368,66.0,10.0,0.17,88.59,20.0,01-05-2022
1814,5,24,2,4,36759275,315,14,298.0,3.0,206,109,60.0,9.0,0.95,94.6,5.2,2022-05-01
1815,5,24,3,4,36633570,1713,74,1618.0,21.0,625,1088,243.0,31.0,1.23,94.45,24.5,2022-05-01
1816,5,24,4,3,34640948,437,42,,6.0,265,172,99.0,21.0,1.37,89.02,12.8,01/05/2022
1817,5,24,5,1,35747689,384,7,372.0,5.0,147,237,44.0,11.0,1.3,96.88,8.3,2022-05-01
1818,5,24,6,6,34087803,154,19,132.0,3.0,83,71,33.0,9.0,1.95,85.71,12.6,2022-05-01
1819,5,24,7,4,36573513,458,49,400.0,9.0,309,149,104.0,12.0,1.97,87.34,12.3,2022-05-01
1820,5,24,8,1,39298478,565,39,518.0,8.0,369,196,82.0,7.0,,91.68,13.0,2022-05-01
1821,5,24,9,6,37275237,1105,92,994.0,19.0,822,283,151.0,12.0,1.72,89.95,21.3,2022-05-01
1822,5,24,10,1,35010213,1527,264,1254.0,9.0,547,980,114.0,9.0,0.59,82.12,23.6,2022-05-01
1823,5,24,11,1,35409716,1178,103,1067.0,8.0,640,538,167.0,46.0,0.68,90.58,15.7,2022-05-01
1824,5,24,12,4,35332164,1151,206,912.0,33.0,451,700,205.0,33.0,2.87,79.24,19.4,2022-05-01
1825,5,25,1,6,4029732,51,8,43.0,0.0,34,17,3.0,0.0,0.0,84.31,10.2,2022-05-01
1826,5,25,2,6,4092037,62,13,48.0,1.0,40,22,3.0,0.0,1.61,77.42,14.3,2022-05-01
1827,5,25,3,2,3993765,68,6,62.0,0.0,37,31,6.0,1.0,0.0,91.18,11.1,2022-05-01
1828,5,25,4,4,4067391,47,4,43.0,0.0,20,27,10.0,1.0,0.0,91.49,10.4,2022-05-01
1829,5,25,5,4,3552353,90,15,74.0,1.0,51,39,12.0,0.0,1.11,82.22,16.0,01/05/2022
1830,5,25,6,4,3933459,50,1,48.0,1.0,20,30,5.0,1.0,2.0,96.0,8.4,2022-05-01
1831,5,25,7,2,3681828,76,16,,0.0,35,41,12.0,0.0,0.0,78.95,5.9,2022-05-01
1832,5,25,8,5,3584651,56,6,49.0,1.0,34,22,8.0,1.0,1.79,87.5,15.7,05/01/2022
1833,5,25,9,6,3837758,229,28,197.0,4.0,87,142,20.0,1.0,1.75,86.03,28.5,2022-05-01
1834,5,25,10,1,3551625,87,15,70.0,2.0,61,26,7.0,1.0,2.3,80.46,16.5,2022-05-01
1835,5,25,11,5,3779115,86,2,,2.0,46,40,12.0,1.0,2.33,95.35,14.7,2022-05-01
1836,5,25,12,5,3949195,37,8,,,16,21,3.0,0.0,2.7,75.68,7.8,2022-05-01
1837,5,26,1,1,198658611,4063,67,3920.0,76.0,2257,1806,754.0,67.0,1.87,96.48,18.4,2022-05-01
1838,5,26,2,5,212664374,4099,787,3209.0,103.0,1519,2580,948.0,123.0,2.51,78.29,12.2,2022-05-01
1839,5,26,3,5,231468541,1600,348,1204.0,48.0,579,1021,,100.0,3.0,75.25,14.7,2022-05-01
1840,5,26,4,4,208215775,4739,300,4292.0,,2630,2109,514.0,54.0,3.1,90.57,18.3,2022-05-01
1841,5,26,5,2,200553676,2181,332,1794.0,55.0,861,1320,212.0,17.0,2.52,82.26,13.5,2022-05-01
1842,5,26,6,1,209234099,4782,283,4486.0,13.0,1900,2882,590.0,80.0,0.27,93.81,12.7,2022-05-01
1843,5,26,7,6,219819100,5462,449,4844.0,169.0,2922,2540,1124.0,251.0,3.09,88.69,23.0,01/05/2022
1844,5,26,8,5,197465767,1823,220,1584.0,19.0,649,1174,131.0,7.0,1.04,86.89,3.6,2022-05-01
1845,5,26,9,5,209349505,4530,88,4374.0,68.0,2340,2190,959.0,83.0,1.5,96.56,13.6,2022-05-01
1846,5,26,10,5,207009730,6260,930,5186.0,144.0,4283,1977,1195.0,146.0,2.3,82.84,25.1,2022-05-01
1847,5,26,11,4,211947675,9581,2037,7370.0,174.0,4150,5431,1985.0,301.0,1.82,76.92,27.4,2022-05-01
1848,5,26,12,2,213920569,3218,411,2775.0,32.0,2078,1140,590.0,46.0,0.99,86.23,11.4,2022-05-01
1849,5,27,1,2,18159448,286,56,221.0,9.0,205,81,35.0,6.0,3.15,77.27,19.8,2022-05-01
1850,5,27,2,4,19862932,578,61,511.0,6.0,297,281,70.0,14.0,1.04,88.41,20.5,05/01/2022
1851,5,27,3,6,18280103,261,51,204.0,6.0,106,155,54.0,10.0,2.3,78.16,17.1,2022-05-01
1852,5,27,4,6,18112255,126,3,120.0,3.0,49,77,15.0,1.0,2.38,95.24,11.8,2022-05-01
1853,5,27,5,5,18637211,191,18,170.0,3.0,104,87,30.0,2.0,,89.01,9.1,2022-05-01
1854,5,27,6,6,18181723,152,27,123.0,2.0,66,86,26.0,3.0,1.32,80.92,9.3,2022-05-01
1855,5,27,7,1,18595043,205,7,195.0,3.0,138,67,18.0,4.0,1.46,95.12,5.5,01-05-2022
1856,5,27,8,5,19176896,728,21,697.0,10.0,501,227,138.0,40.0,1.37,95.74,25.5,2022-05-01
1857,5,27,9,3,18666938,724,154,554.0,16.0,528,196,120.0,9.0,2.21,76.52,26.2,2022-05-01
1858,5,27,10,5,18385090,347,32,311.0,4.0,156,191,59.0,10.0,1.15,89.63,12.4,2022-05-01
1859,5,27,11,1,19056848,743,114,609.0,20.0,554,189,NA,11.0,2.69,81.97,22.9,2022-05-01
1860,5,27,12,5,19025475,469,5,448.0,16.0,256,213,115.0,9.0,3.41,95.52,25.9,2022-05-01
1861,5,28,1,4,93040807,1901,214,1681.0,6.0,786,1115,421.0,21.0,0.32,88.43,10.7,2022-05-01
1862,5,28,2,2,95043878,1654,283,1328.0,43.0,863,791,295.0,55.0,2.6,80.29,17.0,2022-05-01
1863,5,28,3,5,95489078,1153,162,973.0,18.0,606,547,170.0,27.0,1.56,84.39,7.6,2022-05-01
1864,5,28,4,1,97298170,853,186,648.0,19.0,615,238,155.0,21.0,2.23,75.97,15.3,2022-05-01
1865,5,28,5,5,99567334,1998,69,1883.0,46.0,1228,770,163.0,44.0,2.3,94.24,15.0,2022-05-01
1866,5,28,6,3,88764909,1591,202,1386.0,3.0,1042,549,306.0,16.0,0.19,87.12,10.1,2022-05-01
1867,5,28,7,3,97701100,2119,65,1993.0,61.0,1082,1037,311.0,55.0,2.88,94.05,17.7,2022-05-01
1868,5,28,8,3,87053148,1115,105,997.0,13.0,503,612,237.0,21.0,1.17,89.42,5.1,2022-05-01
1869,5,28,9,4,96073229,3034,663,2311.0,60.0,1539,1495,531.0,132.0,1.98,76.17,18.6,2022-05-01
1870,5,28,10,4,90521537,840,23,794.0,23.0,587,253,57.0,4.0,2.74,94.52,12.2,01/05/2022
1871,5,28,11,3,85510988,2130,41,2040.0,49.0,1564,566,394.0,65.0,2.3,95.77,19.5,2022-05-01
1872,5,28,12,5,92622485,3275,337,2899.0,39.0,1955,1320,304.0,18.0,1.19,88.52,17.9,2022-05-01
1873,5,29,1,6,28983139,332,67,255.0,10.0,159,173,68.0,6.0,3.01,76.81,12.6,2022-05-01
1874,5,29,2,4,30588039,284,1,275.0,8.0,114,170,67.0,10.0,2.82,96.83,7.9,2022-05-01
1875,5,29,3,3,29805552,912,133,772.0,7.0,582,330,208.0,33.0,0.77,84.65,15.8,2022-05-01
1876,5,29,4,1,28777573,404,53,341.0,10.0,141,263,41.0,3.0,2.48,84.41,9.7,2022-05-01
1877,5,29,5,3,28721526,447,30,406.0,11.0,204,243,111.0,32.0,2.46,90.83,10.6,2022-05-01
1878,5,29,6,1,32164914,962,117,833.0,12.0,639,323,166.0,33.0,1.25,86.59,19.1,2022-05-01
1879,5,29,7,3,29850869,162,30,129.0,3.0,111,51,39.0,11.0,1.85,79.63,12.1,2022-05-01
1880,5,29,8,4,28778522,407,16,379.0,12.0,245,162,100.0,26.0,2.95,93.12,11.5,2022-05-01
1881,5,29,9,6,31583137,1119,47,1064.0,8.0,788,331,208.0,26.0,0.71,95.08,20.1,01-05-2022
